listing_id,borough,neighborhood,address,unit,zip,rent,net_effective_rent,gross_over_3000,no_fee,beds,baths,sqft,building_type,status,available_date,price_changed_at,latitude,longitude,bbl,bin,nearest_station,nearest_lines,nearest_dist_mi,nearest_walk_min,all_nearby_lines,hpd_total,hpd_open,hpd_open_class_c,hpd_rent_impairing_open,ecb_total,ecb_active,ecb_penalty_total,ecb_balance_due,dob_total,dob_open,source_url
5075290,manhattan,Lenox Hill,402 East 69th Street,30,10021,2995,0,false,false,1,1,,RENTAL,ACTIVE,2026-07-31,2026-06-30T18:26:17.000Z,40.765631,-73.957143,1014630045,1045578,72 St,Q,0.158,3,Q|6|M,60,23,11,5,6,4,5160,0,14,7,https://streeteasy.com/building/1282-1-avenue-new_york/30
5086651,manhattan,East Harlem,2196 3rd Avenue,1,10035,2795,2562,false,false,1,1,625,RENTAL,ACTIVE,2026-06-29,2026-06-30T15:32:14.000Z,40.800487,-73.93858,1017680039,1054373,116 St,6,0.19,4,6|4|5,6,2,0,0,2,2,7530,7530,0,0,https://streeteasy.com/building/2196-3-avenue-new_york/1
5087445,manhattan,South Harlem,272 West 117th Street,2B,10026,2450,0,false,false,0,1,,RENTAL,ACTIVE,2026-06-30,2026-06-30T14:43:17.000Z,40.804632,-73.95424,1019220057,1058381,116 St,C|B,0.044,1,C|B|2|3,48,12,5,2,3,0,2750,0,10,3,https://streeteasy.com/building/272-west-117-street-new_york/2b
5087423,manhattan,Fort George,440 Audubon Avenue,4G,10040,2795,2329,false,false,1,1,,RENTAL,ACTIVE,2026-06-30,2026-06-30T14:25:27.000Z,40.85301,-73.929603,1021580016,1063813,191 St,1,0.163,3,1|A,723,25,22,11,42,3,45075,2250,34,1,https://streeteasy.com/building/440-audubon-avenue-new_york/4g
5079578,manhattan,South Harlem,9 East 118th Street,E,10035,2900,0,false,false,1,1,,RENTAL,ACTIVE,2026-06-22,2026-06-22T14:04:27.000Z,40.801824,-73.944639,1017450007,1053947,116 St,2|3,0.252,5,2|3|6,320,13,4,2,3,0,3400,0,4,4,https://streeteasy.com/building/the-gloria/e
5087351,manhattan,Yorkville,319 East 95th Street,18,10128,2850,0,false,false,1,1,,RENTAL,ACTIVE,2026-07-08,2026-06-30T13:22:47.000Z,40.783226,-73.946344,1015580013,1050334,96 St,Q,0.075,1,Q|6,59,1,1,0,4,1,875,0,1,0,https://streeteasy.com/building/319-east-95-street-new_york/18
5087199,manhattan,Yorkville,430 East 87th Street,3F,10128,2900,0,false,false,0,1,,CO_OP,ACTIVE,2026-06-30,2026-06-30T10:14:00.000Z,40.776885,-73.947735,1015660034,1050559,86 St,Q,0.169,3,Q|4|5|6,12,1,0,0,7,3,12800,0,21,9,https://streeteasy.com/building/430-east-87-street-new_york/3f
5086108,manhattan,Murray Hill,590 3rd Avenue,4D,10016,2995,0,false,false,0,1,,RENTAL,ACTIVE,2026-06-28,2026-06-29T02:07:23.000Z,40.748739,-73.976313,1008940046,1019145,Grand Central-42 St,4|5|6|7|S,0.162,3,4|5|6|7|S|B|D|F|M,8,1,0,0,3,1,1000,0,15,8,https://streeteasy.com/building/590-3-avenue-new_york/4d
5087116,manhattan,NoMad,100 Lexington Avenue,3C,10016,2995,0,false,false,0,1,,RENTAL,ACTIVE,2026-07-01,2026-06-30T02:23:57.000Z,40.74223,-73.98308,1008830020,1018167,28 St,6,0.075,1,6,72,3,0,0,12,5,37500,4900,7,4,https://streeteasy.com/building/100-lexington-avenue-new_york/3c
5087109,manhattan,East Harlem,222 East 111th Street,2E,10029,3000,0,false,false,1,1,,RENTAL,ACTIVE,2026-06-29,2026-06-30T02:13:34.000Z,40.794147,-73.94136,1016600038,1089423,110 St,6,0.158,3,6,7,1,0,0,32,1,43900,900,23,3,https://streeteasy.com/building/222-east-111-street-new_york/2e
5064116,manhattan,Yorkville,441 East 83rd Street,4B,10028,2975,0,false,false,0,1,,RENTAL,ACTIVE,2026-09-04,2026-06-30T20:20:12.000Z,40.774502,-73.949307,1015630016,1050456,86 St,Q,0.215,4,Q|4|5|6,15,5,5,2,0,0,0,0,10,0,https://streeteasy.com/building/441-east-83-street-new_york/4b
5086841,manhattan,Upper West Side,410 West End Avenue,5F,10024,3000,0,false,false,0,1,,RENTAL,ACTIVE,2026-06-29,2026-06-29T20:38:49.000Z,40.784637,-73.980579,1012270063,1032648,79 St,1,0.047,1,1|2|3,25,0,0,0,9,1,4845,0,22,4,https://streeteasy.com/building/410-west-end-avenue-new_york/5f
5086859,manhattan,Lenox Hill,1446 First Avenue,15,10021,2550,0,false,false,0,1,,MIXED_USE,ACTIVE,2026-08-08,2026-06-29T20:29:23.000Z,40.76981,-73.95419,1014700002,1045918,72 St,Q,0.223,4,Q|6,51,9,3,0,8,0,3270,0,7,0,https://streeteasy.com/building/1446-1-avenue-new_york/15
5086808,manhattan,Inwood,70 Post Avenue,5E,10034,2395,0,false,false,1,1,,RENTAL,ACTIVE,2026-06-29,2026-06-29T20:10:50.000Z,40.864029,-73.922464,1022210036,1064772,207 St,1,0.17,3,1|A,210,3,1,0,3,1,3750,2500,2,0,https://streeteasy.com/building/70-post-avenue-new_york/5e
5086780,manhattan,Midtown South,11 East 32nd Street,4D,10016,2800,0,false,false,0,1,,CO_OP,ACTIVE,2026-06-29,2026-06-29T19:54:58.000Z,40.746927,-73.984504,1008620011,1017010,33 St,6,0.122,2,6|B|D|F|M|N|Q|R|W,10,0,0,0,39,1,47912,-200,51,16,https://streeteasy.com/building/11-east-32-street-new_york/4d
5086721,manhattan,Upper West Side,330 West 85th Street,2G,10024,2995,0,false,false,0,1,,RENTAL,ACTIVE,2026-08-01,2026-06-29T19:15:26.000Z,40.78859,-73.979589,1012460044,1033865,86 St,1,0.142,3,1|2|3,12,0,0,0,3,0,1180,0,27,7,https://streeteasy.com/building/328-west-85-street-new_york/2g
5086620,manhattan,Central Harlem,103 West 137th Street,3B,10030,2775,0,false,false,1,1,,RENTAL,ACTIVE,2026-06-29,2026-06-29T18:13:02.000Z,40.815793,-73.940307,1020060028,1060001,135 St,2|3,0.105,2,2|3|C|B,77,3,1,0,1,0,1000,-268,16,0,https://streeteasy.com/building/103-west-137-street-new_york/3b
5069908,manhattan,East Village,268 East Fourth Street,1A,10009,3000,0,false,false,1,1,,CO_OP,ACTIVE,2026-07-01,2026-06-29T17:35:04.000Z,40.722636,-73.981525,1003860020,1004616,2 Av,F,0.387,8,F|M|J|Z|L,15,2,0,0,0,0,0,0,5,4,https://streeteasy.com/building/268-east-4-street-new_york/1a
5084615,manhattan,Yorkville,247 East 81st Street,4A,10028,3000,0,false,false,1,1,,RENTAL,ACTIVE,2026-06-26,2026-06-29T17:24:44.000Z,40.774881,-73.95426,1015270021,1048566,86 St,Q,0.11,2,Q|6|4|5,48,12,2,1,21,4,51350,0,10,7,https://streeteasy.com/building/1561-2-avenue-new_york/4a
5086375,manhattan,Upper West Side,154 West 92nd Street,1F,10025,2650,0,false,false,0,1,,RENTAL,ACTIVE,2026-09-01,2026-06-29T15:47:49.000Z,40.791032,-73.971565,1012220156,1032518,96 St,1|2|3,0.147,3,1|2|3|C|B,43,28,6,6,0,0,0,0,13,13,https://streeteasy.com/building/154-west-92-street-new_york/1f
